name,number_female,number_male,prob_female,prob_male,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Aaban,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadan,0,23,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Aadarsh,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaden,0,3675,0,0.998814604077762,0,83,39,84,546,65,33,0,5,227,141,6,45,0,177,54,29,72,66,40,54,5,114,58,80,59,5,102,5,16,0,57,17,29,221,153,36,14,125,6,57,6,73,436,14,78,0,59,65,19,0
Aadhav,0,20,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadhya,691,0,1,0,0,0,0,11,159,0,18,0,0,13,24,0,0,0,45,0,0,0,0,25,8,0,20,8,0,0,0,26,0,0,0,90,0,0,8,33,0,0,28,0,0,0,5,95,0,47,0,23,5,0,0
Aadi,0,334,0,0.977961432506887,0,0,0,0,116,0,0,0,0,0,6,0,0,0,43,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,88,0,0,24,0,0,0,6,0,0,0,0,46,0,0,0,0,0,0,0
Aadil,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Aadin,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Aadit,0,24,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaditya,0,102,0,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Aadvik,0,7,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadya,421,0,1,0,0,0,0,5,104,0,6,0,5,7,6,0,0,0,22,0,0,0,0,13,6,0,12,0,0,0,0,24,0,0,0,59,0,0,16,19,0,0,18,0,0,0,0,52,0,20,0,27,0,0,0
Aadyn,0,69,0,0.9629629629629628,0,0,0,0,14,0,0,0,0,12,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Aahan,0,21,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aahana,134,0,1,0,0,0,0,0,75,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
Aahil,0,167,0,1,0,0,0,0,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,61,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
Aahna,7,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaiden,0,217,0,1,0,0,0,0,68,0,0,0,0,13,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,6,0,0,10,0,0,0,0,82,0,0,0,0,0,0,0
Aaima,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaira,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
